,Symbol,Cleaned Name
0,AABA,Altaba
1,AAL,American
2,AAME,Atlantic
3,AAOI,Applied
4,AAON,AAON
5,AAPL,Apple
6,AAWW,Atlas
7,AAXJ,iShares
8,AAXN,Axon
9,ABAC,Renmin
10,ABCB,Ameris
11,ABCD,Cambium
12,ABDC,Alcentra
13,ABEO,Abeona
14,ABEOW,Abeona
15,ABIL,Ability
16,ABIO,ARCA
17,ABMD,ABIOMED
18,ABTX,Allegiance
19,ABUS,Arbutus
20,ACAD,ACADIA
21,ACBI,Atlantic
22,ACER,Acer
23,ACET,Aceto
24,ACGL,Arch
25,ACGLO,Arch
26,ACGLP,Arch
27,ACHC,Acadia
28,ACHN,Achillion
29,ACHV,Achieve
30,ACIA,Acacia
31,ACLS,Axcelis
32,ACNB,ACNB
33,ACOR,Acorda
34,ACRS,Aclaris
35,ACRX,AcelRx
36,ACSF,American
37,ACST,Acasti
38,ACT,AdvisorShares
39,ACTG,Acacia
40,ACWI,iShares
41,ACWX,iShares
42,ACXM,Acxiom
43,ADAP,Adaptimmune
44,ADBE,Adobe
45,ADES,Advanced
46,ADI,Analog
47,ADIL,Adial
48,ADILW,Adial
49,ADMA,ADMA
50,ADMP,Adamis
51,ADMS,Adamas
52,ADOM,ADOMANI
53,ADP,Automatic
54,ADRA,Invesco
55,ADRD,Invesco
56,ADRE,Invesco
57,ADRO,Aduro
58,ADRU,Invesco
59,ADSK,Autodesk
60,ADTN,ADTRAN
61,ADUS,Addus
62,ADVM,Adverum
63,ADXS,Advaxis
64,ADXSW,Advaxis
65,AEGN,Aegion
66,AEHR,Aehr
67,AEIS,Advanced
68,AEMD,Aethlon
69,AERI,Aerie
70,AETI,American
71,AEY,ADDvantage
72,AEZS,Aeterna
73,AFH,Atlas
74,AFHBL,Atlas
75,AFIN,American
76,AFMD,Affimed
77,AFSI,AmTrust
78,AGEN,Agenus
79,AGFS,AgroFresh
80,AGFSW,AgroFresh
81,AGIO,Agios
82,AGLE,Aeglea
83,AGNC,AGNC
84,AGNCB,AGNC
85,AGNCN,AGNC
86,AGND,WisdomTree
87,AGRX,Agile
88,AGTC,Applied
89,AGYS,Agilysys
90,AGZD,WisdomTree
91,AHPA,Avista
92,AHPAU,Avista
93,AHPAW,Avista
94,AHPI,Allied
95,AIA,iShares
96,AIHS,Senmiao
97,AIMC,Altra
98,AIMT,Aimmune
99,AINV,Apollo
100,AIPT,Precision
101,AIQ,Global
102,AIRG,Airgain
103,AKAM,Akamai
104,AKAO,Achaogen
105,AKBA,Akebia
106,AKCA,Akcea
107,AKER,Akers
108,AKRX,Akorn
109,AKTS,Akoustis
110,AKTX,Akari
111,ALBO,Albireo
112,ALCO,Alico
113,ALDR,Alder
114,ALDX,Aldeyra
115,ALGN,Align
116,ALGR,Allegro
117,ALGRR,Allegro
118,ALGRU,Allegro
119,ALGRW,Allegro
120,ALGT,Allegiant
121,ALIM,Alimera
122,ALKS,Alkermes
123,ALLK,Allakos
124,ALLT,Allot
125,ALNA,Allena
126,ALNY,Alnylam
127,ALOT,AstroNova
128,ALPN,Alpine
129,ALQA,Alliqua
130,ALRM,Alarm.com
131,ALRN,Aileron
132,ALSK,Alaska
133,ALT,Altimmune
134,ALTR,Altair
135,ALTY,Global
136,ALXN,Alexion
137,AMAG,AMAG
138,AMAL,Amalgamated
139,AMAT,Applied
140,AMBA,Ambarella
141,AMBC,Ambac
142,AMBCW,Ambac
143,AMCA,iShares
144,AMCN,AirMedia
145,AMD,Advanced
146,AMDA,Amedica
147,AMED,Amedisys
148,AMEH,Apollo
149,AMGN,Amgen
150,AMKR,Amkor
151,AMMA,Alliance
152,AMNB,American
153,AMOT,Allied
154,AMPH,Amphastar
155,AMR,Alta
156,AMRB,American
157,AMRH,Ameri
158,AMRHW,Ameri
159,AMRN,Amarin
160,AMRS,Amyris
161,AMRWW,Alta
162,AMSC,American
